EVT EQUIP-ID,EVENT-ID,WCE,DDR,WCE NARRATIVE,CORRECTIVE ACTION
C1234,L586700927,1,1,sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu,interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere
C1234,L857718716,3,1,vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper,lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero
B1234,L026550149,3,2,duis consequat dui nec nisi volutpat eleifend donec ut dolor,praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut
B1234,L641227345,2,1,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a,sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus
D1234,L321968282,1,2,pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra,platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque
A1234,L467139780,3,1,semper interdum mauris ullamcorper purus sit amet nulla quisque arcu,nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis
A1234,L306175112,3,2,at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero,orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam
A1234,L963226856,3,1,rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat,nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo
A1234,L029372680,2,1,sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem,nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla
A1234,L662022238,2,2,vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci,pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus
B1234,L199251752,3,1,ut nunc vestibulum ante ipsum primis in faucibus orci luctus et,potenti nullam porttitor lacus at turpis donec posuere metus vitae
B1234,L364404899,3,2,in felis donec semper sapien a libero nam dui proin,imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed
B1234,L134940568,3,1,et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet,morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis
C1234,L405162882,2,1,quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum,integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula
B1234,L433747012,2,1,arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget,ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl
B1234,L574714578,1,1,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac,ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi
B1234,L411195868,3,2,dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id,ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra
C1234,L372129669,3,2,primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui,elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus
D1234,L756813519,3,2,magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer,massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo
D1234,L185026092,1,1,amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus
B1234,L538912791,1,2,sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis,sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed
B1234,L952387888,1,2,sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem,purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis
D1234,L682752437,3,2,a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla,nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec
C1234,L718117018,2,1,non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh,eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh
A1234,L665044740,1,1,pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla,elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel
